178;7QH2MYLF9O;04/11/2024 15:00:34 CET;04/11/2024 15:05:54 CET;320;3;dm6;si;si;;;;;;;;;;;1;4;5;2;2;40;3;1;1;4;;;;;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3;4;3;4;4;3;Zucchero fillato ;1;0;0;0;0;0;0;0;0;0;0;0;Caramelle ;;;;;;;;;;Kinder;0;0;0;0;0;0;0;0;0;0;1;10;;;;;;;;;;;3;3;2;3;2;3;2;3;2;2;3;3;3;2;3;3;2;2;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;9;3;1;1;1;3;1;4;1;2;3;1;3;1;3;1;1;3;4;3;1;4;;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;;2;3;2;;4;;4;3;;4;;3;;5;2;;;;2;;;;3;3;4;;3;;3;4;;2;;3;;5;6;;;;4;;;2;6;3;2;4;3;5;
69;7NAUCTLX4O;04/11/2024 12:45:46 CET;04/11/2024 12:48:35 CET;169;3;dm7;si;si;;;;;;;;;;;1;4;13;4;2;35;3;1;1;2;;;;;2;1;0;0;0;0;0;0;0;1;0;0;1;0;11;4;3;4;3;3;Prodotti Kinder ;1;0;0;0;0;0;0;0;0;0;0;0;Kinder ;;;;;;;;;;Kinder;1;0;0;0;0;0;0;0;0;0;0;0;Kinder ;;;;;;;;;;3;1;2;3;1;3;1;3;3;2;2;3;1;1;2;2;3;3;;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;14;3;3;3;2;2;3;3;2;3;2;3;3;3;3;3;3;3;4;3;2;3;;Bauli ;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;;;;4;7;;;3;;6;;;;;;;;;;7;;;;;;7;7;;;3;;6;;;;;;;;;;8;;;8;4;5;3;2;1;1;8
202;ERE8Z2T0VT;04/11/2024 15:34:53 CET;04/11/2024 15:39:14 CET;261;3;dm7;si;si;;;;;;;;;;;1;4;9;1;2;37;3;1;2;4;2;;;;1;0;0;0;1;1;0;0;1;1;1;0;1;0;9;3;3;3;3;2;Caramelle ;1;1;0;0;0;0;0;0;0;0;0;0;Caramelle;Lecca lecca;;;;;;;;;Haribo;1;0;0;0;0;0;0;0;0;0;0;0;Kinder ;;;;;;;;;;1;2;1;1;3;3;3;3;3;3;3;1;1;2;2;3;3;3;;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;3;3;1;1;1;3;1;1;1;1;1;3;1;1;1;1;3;3;1;4;;;0;0;0;1;0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;3;3;;;2;2;2;;2;2;1;2;1;;1;1;2;2;;;1;;;2;;;2;2;2;;2;2;2;2;2;;2;2;2;2;;;2;;;14;15;17;4;4;1;1;8
20;92L1NO2Q66;04/11/2024 10:53:22 CET;04/11/2024 10:59:37 CET;375;3;dm7;no;no;;;;;;;;;;;1;4;20;2;2;56;5;2;;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;1;12;5;5;5;5;4;caramelle;1;0;0;0;0;0;0;0;0;0;0;0;merendine;;;;;;;;;;haribo;1;0;0;0;0;0;0;0;0;0;0;0;bauli;;;;;;;;;;2;1;3;2;1;3;1;3;2;2;3;1;3;3;3;3;3;3;;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;6;3;2;3;3;3;1;1;1;2;2;2;1;3;1;1;1;1;2;3;1;4;;;0;0;0;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;5;;4;;;;4;1;3;6;10;2;2;;1;1;3;2;10;;2;;;;7;;;;4;3;4;5;10;2;2;;1;1;2;1;9;;1;;;14;11;15;2;3;1;1;8
165;L5X01SXIV0;04/11/2024 14:50:16 CET;04/11/2024 15:23:29 CET;1993;7;r2;no;si;;;;;;;;;;;1;4;7;3;1;43;3;1;2;4;2;;;;1;0;0;1;0;1;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;
222;YF5XFNATZ6;04/11/2024 16:14:51 CET;04/11/2024 16:16:44 CET;113;3;dm7;no;si;;;;;;;;;;;1;4;4;4;1;39;3;1;1;2;;;;;1;1;0;1;0;0;1;1;1;0;1;0;1;0;0;2;2;2;2;2;biscotti;0;0;0;0;0;0;0;0;0;0;1;10;;;;;;;;;;;milka;0;0;0;0;0;0;0;0;0;0;1;10;;;;;;;;;;;2;1;2;2;1;1;1;2;2;1;2;2;2;2;1;2;2;2;;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;3;3;3;2;3;3;3;2;3;3;2;3;2;3;3;2;3;3;3;3;4;;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;10;;;;6;;;;6;;;7;;6;;;6;;;;;;;;;;5;;;;5;;;4;;5;;;5;;;;;;;11;4;16;3;4;1;1;9
143;GPE8GE742Z;04/11/2024 14:37:11 CET;04/11/2024 14:46:44 CET;573;3;dm6;si;si;;;;;;;;;;;1;4;14;4;2;43;3;1;1;4;;;;;2;0;0;0;0;0;0;0;0;0;0;1;0;0;10;4;3;4;4;3;Caramelle e cioccolati a tema;1;0;0;0;0;0;0;0;0;0;0;0;Occhi gommosi;;;;;;;;;;Kinder;1;0;0;0;0;0;0;0;0;0;0;0;Kinder ;;;;;;;;;;1;2;1;3;2;2;2;3;2;2;2;1;2;2;2;2;2;2;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;12;2;3;2;3;2;3;2;1;3;2;2;3;2;2;1;2;2;4;3;2;4;;;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;7;4;;2;;2;;4;1;;3;2;;4;2;1;4;2;;;1;;;3;;3;;3;;4;1;;3;4;;4;1;1;3;1;;;2;;;8;17;15;3;4;1;7;
27;HQT4IB8LEI;04/11/2024 10:58:00 CET;04/11/2024 11:44:22 CET;2782;3;dm7;no;no;;;;;;;;;;;1;4;15;4;1;51;4;2;;;;;;;1;0;0;0;0;1;0;0;0;1;0;0;1;0;8;2;2;1;1;2;Dgu;0;0;0;0;0;0;0;0;0;0;1;10;;;;;;;;;;;Ok;0;0;0;0;0;0;0;0;0;0;1;10;;;;;;;;;;;1;2;2;1;2;2;2;2;2;2;1;3;1;2;1;1;2;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;15;1;1;1;3;2;1;2;2;1;1;2;2;1;1;2;2;3;2;1;2;2;;Dgui;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;;1;2;2;1;2;4;2;3;4;2;1;4;;1;3;3;2;;3;1;1;;3;3;2;1;1;1;1;3;1;2;4;3;;3;1;1;2;;16;14;15;2;2;1;1;2
225;3247NHV6NG;04/11/2024 16:25:59 CET;04/11/2024 16:35:05 CET;546;3;dm7;si;si;;;;;;;;;;;1;4;13;4;2;42;3;1;2;2;3;;;;2;0;0;0;1;1;1;0;0;0;0;0;1;0;3;4;2;4;3;3;Cucciolate ;0;0;0;0;0;0;0;0;0;0;1;10;;;;;;;;;;;Kinder;0;0;0;0;0;0;0;0;0;0;1;10;;;;;;;;;;;2;1;1;1;2;3;2;3;3;2;3;1;1;2;3;3;3;2;;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;13;2;2;3;3;2;2;1;1;2;3;1;1;2;1;1;2;3;3;2;1;3;;Non so;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;5;6;;;4;5;4;3;5;;5;4;7;3;3;6;;;4;4;;;5;4;;;5;6;5;4;5;;5;5;6;5;2;6;;;4;4;;;1;15;7;4;1;1;1;8
153;FJ4SC1613T;04/11/2024 14:43:04 CET;04/11/2024 14:48:22 CET;318;3;dm7;no;no;;;;;;;;;;;1;4;15;4;1;37;3;1;2;1;1;;;;1;0;0;0;0;0;1;0;0;0;0;0;1;0;5;3;3;2;2;1;Kinder;0;0;0;0;0;0;0;0;0;0;1;10;;;;;;;;;;;Kinder;0;0;0;0;0;0;0;0;0;0;1;10;;;;;;;;;;;3;2;2;1;2;2;3;3;3;3;2;1;1;2;1;3;3;3;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;11;3;2;3;1;3;3;3;1;2;2;3;1;3;1;2;2;3;3;2;2;4;;;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;7;;3;;1;;;;1;2;4;;2;;1;2;3;;;2;3;;;;4;;2;;;;1;3;4;;3;;1;3;4;;;3;3;;;8;14;15;4;2;1;1;4
